season,stadium,date,pitches,hb_offset_cm,ivb_offset_cm
2022,고척,20220402,312,5.464,9.439
2022,고척,20220403,348,5.325,8.851
2022,고척,20220405,299,4.854,8.659
2022,고척,20220406,327,4.607,8.813
2022,고척,20220407,234,4.772,8.085
2022,고척,20220412,255,3.819,8.472
2022,고척,20220413,432,3.563,8.701
2022,고척,20220414,263,4.214,8.058
2022,고척,20220422,281,4.135,8.669
2022,고척,20220423,261,5.014,9.007
2022,고척,20220424,291,4.161,8.412
2022,고척,20220429,292,4.304,8.48
2022,고척,20220430,247,3.437,8.254
2022,고척,20220501,348,4.9,8.299
2022,고척,20220506,265,4.83,8.168
2022,고척,20220507,271,3.871,8.908
2022,고척,20220508,294,4.714,8.086
2022,고척,20220510,315,4.858,8.399
2022,고척,20220511,287,4.885,8.559
2022,고척,20220512,274,3.885,8.154
2022,고척,20220520,234,4.918,8.603
2022,고척,20220521,279,4.158,7.82
2022,고척,20220522,299,3.994,9.117
2022,고척,20220531,279,4.277,8.003
2022,고척,20220601,293,3.795,7.737
2022,고척,20220602,340,4.135,8.0
2022,고척,20220607,316,4.067,7.699
2022,고척,20220608,389,4.081,7.739
2022,고척,20220609,294,4.668,8.797
2022,고척,20220614,279,4.301,8.193
2022,고척,20220615,281,3.832,8.858
2022,고척,20220616,315,4.417,8.998
2022,고척,20220617,325,4.975,8.259
2022,고척,20220618,264,4.242,7.85
2022,고척,20220619,295,4.804,7.924
2022,고척,20220628,280,4.524,8.591
2022,고척,20220629,270,4.429,8.503
2022,고척,20220630,289,4.058,7.975
2022,고척,20220701,288,3.12,8.321
2022,고척,20220702,249,3.691,8.263
2022,고척,20220703,271,3.629,7.914
2022,고척,20220708,276,2.167,8.302
2022,고척,20220709,333,3.305,7.95
2022,고척,20220710,264,4.442,8.233
2022,고척,20220722,328,5.152,8.409
2022,고척,20220723,281,4.107,8.337
2022,고척,20220724,298,5.519,8.569
2022,고척,20220802,297,5.187,7.587
2022,고척,20220803,262,5.137,8.114
2022,고척,20220804,335,4.631,8.09
2022,고척,20220810,293,3.876,8.528
2022,고척,20220811,261,4.891,8.193
2022,고척,20220812,274,4.665,8.411
2022,고척,20220820,353,3.877,7.441
2022,고척,20220821,274,5.234,8.4
2022,고척,20220823,353,4.881,8.096
2022,고척,20220824,337,4.701,8.847
2022,고척,20220830,300,4.402,8.597
2022,고척,20220831,296,3.3,9.283
2022,고척,20220901,313,4.133,8.315
2022,고척,20220902,305,4.091,8.74
2022,고척,20220908,246,4.68,8.447
2022,고척,20220909,302,4.168,8.259
2022,고척,20220910,291,4.774,8.612
2022,고척,20220911,265,3.277,8.617
2022,고척,20220917,290,4.28,8.523
2022,고척,20220918,289,4.124,8.857
2022,고척,20220920,347,3.717,8.36
2022,고척,20220921,327,4.24,8.072
2022,고척,20220922,325,5.73,8.589
2022,고척,20220923,296,4.901,8.421
2022,고척,20220924,309,3.468,8.724
2022,광주,20220402,255,0.612,0.507
2022,광주,20220403,288,0.155,0.833
2022,광주,20220405,288,0.775,1.225
2022,광주,20220406,347,1.038,0.695
2022,광주,20220407,295,1.193,0.941
2022,광주,20220412,297,1.582,-0.476
2022,광주,20220414,307,1.905,0.423
2022,광주,20220419,314,1.889,0.354
2022,광주,20220420,291,1.137,0.689
2022,광주,20220421,258,0.725,-0.128
2022,광주,20220429,302,2.051,0.727
2022,광주,20220430,304,0.776,1.113
2022,광주,20220501,280,0.357,0.856
2022,광주,20220503,274,1.635,0.46
2022,광주,20220504,328,1.603,-0.163
2022,광주,20220505,295,2.619,1.111
2022,광주,20220510,260,1.438,-0.037
2022,광주,20220511,343,1.613,0.539
2022,광주,20220512,275,1.54,0.233
2022,광주,20220520,257,0.935,0.015
2022,광주,20220521,360,0.878,-0.437
2022,광주,20220522,319,0.44,-0.163
2022,광주,20220527,261,1.297,0.279
2022,광주,20220528,282,1.917,0.425
2022,광주,20220529,338,3.01,0.251
2022,광주,20220608,349,2.045,-0.337
2022,광주,20220609,252,1.118,-0.311
2022,광주,20220610,391,2.408,-0.621
2022,광주,20220611,280,2.197,-0.364
2022,광주,20220612,350,1.049,0.068
2022,광주,20220617,254,2.323,-0.098
2022,광주,20220618,304,1.9,-0.066
2022,광주,20220619,333,1.218,-0.23
2022,광주,20220621,276,1.548,-0.513
2022,광주,20220622,367,1.73,-0.218
2022,광주,20220623,266,2.039,0.306
2022,광주,20220706,310,1.072,-0.357
2022,광주,20220708,292,0.81,-0.371
2022,광주,20220709,300,1.318,-0.924
2022,광주,20220710,301,1.667,-1.233
2022,광주,20220726,333,1.835,-0.778
2022,광주,20220727,317,1.161,-0.543
2022,광주,20220728,316,1.816,-0.924
2022,광주,20220729,281,1.353,-0.765
2022,광주,20220730,376,1.588,-1.653
2022,광주,20220731,295,1.923,-0.374
2022,광주,20220805,281,1.178,-0.599
2022,광주,20220806,337,1.803,-1.207
2022,광주,20220807,310,1.077,-0.822
2022,광주,20220813,276,1.964,-0.88
2022,광주,20220814,297,2.141,-0.786
2022,광주,20220817,253,1.364,-0.793
2022,광주,20220818,386,1.235,-1.143
2022,광주,20220819,367,2.534,-1.408
2022,광주,20220827,265,0.392,-1.211
2022,광주,20220828,324,1.123,-1.529
2022,광주,20220901,334,1.882,-0.643
2022,광주,20220902,306,1.506,-1.596
2022,광주,20220903,296,1.666,-0.771
2022,광주,20220904,290,2.456,-0.688
2022,광주,20220913,317,1.39,-0.313
2022,광주,20220914,228,1.901,-1.115
2022,광주,20220915,339,2.395,-1.175
2022,광주,20220916,416,2.161,-0.005
2022,광주,20220920,315,1.027,-0.585
2022,광주,20220921,311,2.134,-0.712
2022,광주,20220929,307,1.916,0.709
2022,광주,20221001,300,2.104,0.081
2022,광주,20221005,293,0.99,-0.174
2022,광주,20221006,308,-0.206,1.023
2022,광주,20221007,289,1.975,0.148
2022,광주,20221008,339,0.927,0.302
2022,대구,20220408,248,-3.143,1.509
2022,대구,20220409,271,-3.116,1.591
2022,대구,20220410,238,-2.755,0.773
2022,대구,20220412,283,-4.003,1.067
2022,대구,20220413,281,-2.212,1.573
2022,대구,20220414,283,-2.878,0.442
2022,대구,20220422,287,-2.488,1.14
2022,대구,20220423,287,-3.015,1.359
2022,대구,20220424,285,-4.798,0.642
2022,대구,20220426,292,-2.431,0.923
2022,대구,20220427,290,-2.998,1.321
2022,대구,20220428,275,-2.29,1.731
2022,대구,20220503,345,-4.717,1.672
2022,대구,20220504,312,-3.175,1.7
2022,대구,20220505,275,-4.654,1.104
2022,대구,20220510,290,-2.029,1.761
2022,대구,20220511,388,-3.688,1.422
2022,대구,20220512,276,-2.591,1.814
2022,대구,20220514,234,-5.266,2.057
2022,대구,20220515,284,-5.173,0.636
