season,pitch_id,pitcher_name,code,stadium,category,px,pz,horizontal_movement_cm,vertical_movement_cm,velocity_kmh,loc_err_x_cm,loc_err_z_cm,mov_resid_hb_cm,mov_resid_ivb_cm,magnus,ay,z_hb,z_ivb,release_x_dev_cm,release_z_dev_cm,zone_distance,swing,event,boundary,plane_shift_cm,p_zone,p_zone_alt,p_zone_front
2019,20190327SSLT0-20190327SSLT0-029-05,장시환,CU,사직,extreme_release_mismatch,-0.21,1.5,-2.3,10.8,124.0,-0.104,-0.044,0.026,-0.02,3.578,19.134,-3.437,13.036,70.427,12.204,1.0,,,,,,,
2019,20190327WOOB0-20190327WOOB0-062-03,김승회,FF,잠실,extreme_release_mismatch,-0.8,2.33,28.6,41.1,140.0,0.145,-0.039,-0.021,-0.021,20.526,27.529,7.081,-0.197,123.093,5.504,0.96,,,,,,,
2019,20190327WOOB0-20190327WOOB0-062-04,김승회,FF,잠실,extreme_release_mismatch,0.08,0.91,28.9,47.4,137.0,-0.065,-0.034,-0.03,0.007,21.638,27.492,7.195,0.779,117.685,4.209,2.234,,,,,,,
2019,20190327WOOB0-20190327WOOB0-062-05,김승회,FF,잠실,extreme_release_mismatch,0.15,1.79,27.1,53.5,139.0,-0.03,0.103,0.024,-0.048,24.267,29.252,6.919,2.329,119.906,6.059,1.223,,,,,,,
2019,20190327WOOB0-20190327WOOB0-062-06,김승회,FF,잠실,extreme_release_mismatch,0.09,3.33,29.7,44.9,138.0,-0.132,0.022,0.004,0.042,21.538,27.525,7.352,0.786,117.019,6.494,0.547,,,,,,,
2019,20190330LTLG0-20190330LTLG0-058-01,서준원,FF,잠실,extreme_release_mismatch,-1.08,1.81,-37.3,-0.9,146.0,0.037,0.083,-0.003,0.003,14.826,27.953,-1.211,-6.891,0.065,-44.79,1.296,,,,,,,
2019,20190330LTLG0-20190330LTLG0-058-02,서준원,FF,잠실,extreme_release_mismatch,-0.76,1.6,-36.8,-7.9,146.0,-0.007,-0.144,0.042,-0.01,14.526,28.113,-1.075,-8.71,4.566,-51.07,1.217,,,,,,,
2019,20190330LTLG0-20190330LTLG0-058-03,서준원,FF,잠실,extreme_release_mismatch,-0.02,2.17,-40.6,-5.7,146.0,-0.137,0.062,0.025,0.005,16.28,30.186,-1.758,-8.104,0.79,-43.015,0.689,,,,,,,
2019,20190330LTLG0-20190330LTLG0-059-01,서준원,FF,잠실,extreme_release_mismatch,0.53,2.63,-23.6,2.2,145.0,0.093,-0.068,-0.026,0.017,9.513,23.917,1.783,-6.115,2.847,-46.716,0.636,,,,,,,
2019,20190330NCHH0-20190330NCHH0-052-03,김진성,FS,한밭,extreme_release_mismatch,0.02,2.25,36.5,34.8,131.0,-0.097,0.086,-0.028,0.016,20.333,26.587,7.18,1.105,93.791,-6.523,0.45,,,,,,,
2019,20190331OBSS0-20190331OBSS0-075-05,박치국,FF,대구,implausible_acceleration,-0.21,4.36,-33.8,45.5,137.0,-0.009,-0.04,-0.043,0.012,5.002,3.02,1.887,5.82,28.256,123.847,2.119,,,,,,,
2019,20190331OBSS0-20190331OBSS0-080-02,박신지,FF,대구,extreme_release_mismatch,-1.91,1.13,24.5,41.7,132.0,0.033,-0.129,-0.023,0.037,17.92,20.864,8.685,-1.549,124.565,2.61,2.292,,,,,,,
2019,20190331OBSS0-20190331OBSS0-080-03,박신지,FF,대구,extreme_release_mismatch,0.14,0.61,22.0,51.2,133.0,0.068,0.018,-0.044,0.02,20.941,22.71,8.455,0.846,131.694,-0.97,2.144,,,,,,,
2019,20190331OBSS0-20190331OBSS0-080-04,박신지,FF,대구,extreme_release_mismatch,0.8,1.88,26.8,49.8,135.0,-0.106,0.112,-0.039,0.025,21.601,25.826,9.331,0.734,126.936,-0.812,0.96,,,,,,,
2019,20190331OBSS0-20190331OBSS0-080-05,박신지,FF,대구,extreme_release_mismatch,-0.07,2.79,34.1,50.1,134.0,-0.089,-0.104,0.042,-0.006,22.746,28.614,10.475,1.231,125.269,0.826,0.187,,,,,,,
2019,20190331SKWO0-20190331SKWO0-069-03,김택형,FF,고척,extreme_release_mismatch,-1.05,4.77,0.0,44.1,142.0,-0.041,-0.139,0.04,-0.013,18.727,29.604,-10.15,-0.838,-99.22,21.979,1.925,,,,,,,
2019,20190331SKWO0-20190331SKWO0-069-04,김택형,FF,고척,extreme_release_mismatch,0.67,2.98,1.8,44.4,143.0,-0.057,0.045,0.036,0.014,18.94,31.229,-9.541,-1.287,-99.726,20.357,0.804,,,,,,,
2019,20190331SKWO0-20190331SKWO0-069-05,김택형,FF,고척,extreme_release_mismatch,-0.36,4.16,-0.1,41.9,143.0,0.021,0.082,0.039,0.01,18.103,28.403,-10.093,-1.435,-98.924,19.64,1.285,,,,,,,
2019,20190406HHLT0-20190406HHLT0-047-02,서준원,FF,사직,extreme_release_mismatch,0.63,1.31,-42.4,-7.3,136.0,-0.051,-0.006,0.04,-0.044,16.798,22.966,-0.522,-7.603,-18.843,-45.613,1.393,,,,,,,
2019,20190413LTNC0-20190413LTNC0-076-02,서준원,FF,창원,extreme_release_mismatch,0.04,1.54,-47.6,-1.9,137.0,0.088,0.012,0.006,0.048,18.983,24.599,-0.978,-7.113,-9.413,-41.15,1.262,,,,,,,
2019,20190417HTLT0-20190417HTLT0-066-02,서준원,FF,사직,extreme_release_mismatch,1.2,1.96,-48.7,-12.1,137.0,-0.086,0.091,-0.038,0.047,19.279,26.793,-1.938,-8.99,-14.138,-46.843,1.44,,,,,,,
2019,20190418HTLT0-20190418HTLT0-062-02,고효준,CU,사직,extreme_release_mismatch,2.25,3.94,-39.1,-15.0,126.0,-0.136,-0.108,0.018,-0.027,13.54,21.485,-5.25,3.508,45.358,-21.128,2.7,,,,,,,
2019,20190418HTLT0-20190418HTLT0-086-05,김윤동,FF,사직,extreme_release_mismatch,0.26,1.39,19.2,46.6,140.0,-0.114,-0.039,-0.033,-0.036,21.321,27.929,6.942,2.239,116.07,11.667,1.156,,,,,,,
2019,20190419KTLT0-20190419KTLT0-075-02,서준원,FF,사직,extreme_release_mismatch,1.57,2.33,-47.3,-9.8,131.0,0.067,-0.126,0.005,-0.049,17.494,21.904,-1.736,-8.234,-8.592,-48.445,1.884,,,,,,,
2019,20190419WOLG0-20190419WOLG0-042-01,심수창,FF,잠실,extreme_release_mismatch,-0.28,2.92,-43.4,9.6,137.0,0.052,-0.123,0.028,0.025,17.705,24.839,-4.52,-5.446,-66.506,-47.949,0.336,,,,,,,
2019,20190419WOLG0-20190419WOLG0-050-01,심수창,FF,잠실,extreme_release_mismatch,0.13,3.29,-47.6,8.2,138.0,0.021,0.127,-0.019,0.029,19.185,30.346,-5.254,-5.657,-65.38,-46.898,0.544,,,,,,,
2019,20190419WOLG0-20190419WOLG0-064-01,심수창,FF,잠실,extreme_release_mismatch,-0.48,2.6,-38.8,9.2,141.0,0.057,-0.089,0.036,0.037,16.286,26.192,-3.688,-5.543,-57.398,-44.042,0.576,,,,,,,
2019,20190419WOLG0-20190419WOLG0-069-01,심수창,FF,잠실,extreme_release_mismatch,-0.04,1.36,-45.4,4.7,137.0,0.121,-0.025,-0.048,-0.002,17.987,27.58,-4.886,-6.554,-65.904,-44.528,1.397,,,,,,,
2019,20190424SKSS0-20190424SKSS0-002-02,헤일리,FF,대구,extreme_release_mismatch,-1.58,2.67,-21.5,3.4,133.0,0.117,0.026,-0.005,-0.006,8.222,20.61,-2.535,-9.208,-21.624,-146.772,1.896,,,,,,,
2019,20190424SKSS0-20190424SKSS0-002-05,헤일리,FF,대구,extreme_release_mismatch,-0.29,1.99,-23.3,-1.5,134.0,-0.004,0.146,-0.036,0.006,8.965,20.961,-2.728,-10.657,-19.631,-151.068,0.652,,,,,,,
2019,20190424SKSS0-20190424SKSS0-002-06,헤일리,FF,대구,extreme_release_mismatch,1.28,2.57,-20.3,2.3,134.0,-0.066,0.07,0.025,-0.045,7.798,21.511,-2.05,-9.8,-22.346,-147.097,1.536,,,,,,,
2019,20190428LTOB0-20190428LTOB0-045-02,박근홍,FF,잠실,extreme_release_mismatch,-2.57,3.33,-20.6,36.5,147.0,-0.006,0.139,-0.032,-0.046,18.994,30.934,-10.253,-0.28,-111.831,-15.698,3.084,,,,,,,
2019,20190428LTOB0-20190428LTOB0-045-03,박근홍,FF,잠실,extreme_release_mismatch,-1.01,4.01,-18.2,36.4,146.0,0.005,-0.09,-0.041,-0.036,18.332,32.038,-9.659,-0.292,-107.827,-12.643,1.689,,,,,,,
2019,20190428LTOB0-20190428LTOB0-045-04,박근홍,FF,잠실,extreme_release_mismatch,-0.55,2.21,-11.2,33.9,148.0,-0.033,0.068,-0.017,-0.001,16.341,31.796,-8.386,-0.758,-109.988,-13.627,0.66,,,,,,,
