vb_pitch_id,vb_pa_id,vb_pa_result,code,vb_velocity_kmh,tm_rel_speed,dv,vb_pitch_type_kr,tm_tagged_pitch_type,vb_balls_before,vb_strikes_before,tm_balls_before,tm_strikes_before,tm_event,run_kind,vb_internal,dist
20240323HHLG0-20240323HHLG0-030-01,20240323HHLG0-030,우안,B,145.0,146.595,-0.036000000000001364,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.7587412587412591
20240323SSKT0-20240323SSKT0-035-01,20240323SSKT0-035,우비,B,141.0,143.004,-0.4449999999999932,투심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,1.985933503836317
20240323SSKT0-20240323SSKT0-068-01,20240323SSKT0-068,삼땅,B,146.0,147.212,0.3470000000000084,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.45599999999999996
20240326HHSK0-20240326HHSK0-040-02,20240326HHSK0-040,중안,B,130.0,131.027,0.5320000000000107,포크,Slider,0,1,0,1,strike,equal_length,vb_flow_undecided,0.48
20240326OBKT0-20240326OBKT0-050-01,20240326OBKT0-050,삼땅,B,144.0,145.686,-0.12700000000000955,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_supports_strike,0.9065868263473056
20240326SSLG0-20240326SSLG0-058-01,20240326SSLG0-058,이병,B,137.0,138.984,-0.42500000000001137,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.7083333333333335
20240326SSLG0-20240326SSLG0-072-01,20240326SSLG0-072,포희,B,133.0,134.348,0.2109999999999843,슬라이더,Slider,0,0,0,0,strike,equal_length,vb_flow_undecided,1.08
20240327SSLG0-20240327SSLG0-028-03,20240327SSLG0-028,일야선,B,136.0,136.516,1.0430000000000064,커터,Slider,2,0,2,0,strike,equal_length,vb_flow_undecided,0.8399999999999999
20240327WONC0-20240327WONC0-035-02,20240327WONC0-035,투희,B,141.0,141.399,1.1599999999999966,포심,Fastball,1,0,1,0,strike,equal_length,vb_flow_undecided,0.5302407516147971
20240328HHSK0-20240328HHSK0-084-01,20240328HHSK0-084,우안,B,143.0,143.935,0.6239999999999952,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.9839999999999999
20240328OBKT0-20240328OBKT0-082-02,20240328OBKT0-082,투땅,B,121.0,124.057,-1.4980000000000047,체인지업,Splitter,1,0,1,0,strike,equal_length,vb_flow_undecided,1.02
20240328SSLG0-20240328SSLG0-018-02,20240328SSLG0-018,투희,B,141.0,142.268,0.2909999999999968,포심,Fastball,1,0,1,0,strike,equal_length,vb_flow_undecided,1.195777351247601
20240329HTOB0-20240329HTOB0-010-02,20240329HTOB0-010,삼진,B,131.0,132.611,-0.0519999999999925,포크,Splitter,0,1,0,1,strike,equal_length,vb_flow_undecided,0.372
20240329LGWO0-20240329LGWO0-023-02,20240329LGWO0-023,일땅,B,132.0,133.299,0.2599999999999909,체인지업,ChangeUp,1,0,1,0,strike,equal_length,vb_flow_undecided,0.5464037122969838
20240329NCLT0-20240329NCLT0-024-01,20240329NCLT0-024,일땅,B,144.0,145.64,-0.08099999999998886,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.8279999999999998
20240329NCLT0-20240329NCLT0-064-03,20240329NCLT0-064,삼진,B,142.0,144.2,-0.6409999999999911,포심,Fastball,2,0,2,0,strike,equal_length,vb_flow_supports_strike,0.648
20240330KTHH0-20240330KTHH0-065-01,20240330KTHH0-065,이땅,B,127.0,129.219,-0.6599999999999966,체인지업,ChangeUp,0,0,0,0,strike,equal_length,vb_flow_undecided,1.849537037037037
20240330LGWO0-20240330LGWO0-029-01,20240330LGWO0-029,우안,B,141.0,141.841,0.7179999999999893,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.7681641708264002
20240331HTOB0-20240331HTOB0-050-01,20240331HTOB0-050,좌이,B,147.0,148.265,0.29400000000001114,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.72
20240331SKSS0-20240331SKSS0-058-01,20240331SKSS0-058,투희,B,138.0,140.267,-0.7079999999999984,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,1.032
20240402HTKT0-20240402HTKT0-050-01,20240402HTKT0-050,투희,B,139.0,141.599,-1.039999999999992,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.4310344827586207
20240402NCLG0-20240402NCLG0-060-01,20240402NCLG0-060,중비,B,147.0,148.749,-0.18999999999999773,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.9959999999999999
20240402OBSK0-20240402OBSK0-041-01,20240402OBSK0-041,좌중이,B,122.0,123.14,0.41899999999999693,슬라이더,Curveball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.612
20240404HTKT0-20240404HTKT0-048-02,20240404HTKT0-048,중이,B,146.0,148.481,-0.921999999999997,투심,Fastball,1,0,1,0,strike,equal_length,vb_flow_supports_strike,0.9119999999999999
20240404HTKT0-20240404HTKT0-049-01,20240404HTKT0-049,삼진,B,139.0,141.295,-0.73599999999999,커터,Slider,0,0,0,0,strike,equal_length,vb_flow_supports_strike,0.9239999999999999
20240404NCLG0-20240404NCLG0-040-01,20240404NCLG0-040,유야선,B,144.0,146.033,-0.47399999999998954,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.7004244996967861
20240404OBSK0-20240404OBSK0-026-01,20240404OBSK0-026,우안,B,130.0,129.874,1.6850000000000023,포크,Splitter,0,0,0,0,strike,equal_length,vb_flow_undecided,0.54
20240404OBSK0-20240404OBSK0-043-01,20240404OBSK0-043,중비,B,129.0,130.014,0.5449999999999875,슬라이더,Slider,0,0,0,0,strike,equal_length,vb_flow_undecided,0.9099415204678357
20240405KTLG0-20240405KTLG0-045-02,20240405KTLG0-045,투번안,B,142.0,143.24,0.3189999999999884,포심,Fastball,1,0,1,0,strike,equal_length,vb_flow_undecided,1.1781326781326784
20240406OBLT0-20240406OBLT0-016-01,20240406OBLT0-016,투병,B,144.0,145.746,-0.18700000000001182,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,1.3679999999999999
20240406OBLT0-20240406OBLT0-020-01,20240406OBLT0-020,좌안,B,146.0,148.432,-0.8729999999999905,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.8399999999999999
20240406OBLT0-20240406OBLT0-021-02,20240406OBLT0-021,삼병,B,118.0,119.671,-0.11200000000000898,커브,Curveball,0,1,0,1,strike,equal_length,vb_flow_undecided,0.36
20240407HHWO0-20240407HHWO0-062-01,20240407HHWO0-062,우비,B,145.0,146.632,-0.0730000000000075,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.696
20240407HHWO0-20240407HHWO0-062-02,20240407HHWO0-062,우비,B,144.0,145.022,0.5370000000000061,포심,Fastball,1,0,0,1,strike,equal_length,vb_flow_undecided,0.9705882352941179
20240407OBLT0-20240407OBLT0-079-02,20240407OBLT0-079,좌비,B,143.0,144.71,-0.15100000000001046,포심,Fastball,1,0,1,0,strike,equal_length,vb_flow_undecided,0.9119999999999999
20240407SKNC0-20240407SKNC0-038-02,20240407SKNC0-038,중비,B,132.0,132.379,1.1800000000000068,커터,Slider,1,0,1,0,strike,equal_length,vb_flow_supports_strike,0.504
20240409SSLT0-20240409SSLT0-055-01,20240409SSLT0-055,투야선,B,133.0,135.163,-0.6040000000000134,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.43199999999999994
20240410HHOB0-20240410HHOB0-015-01,20240410HHOB0-015,좌비,B,146.0,147.835,-0.27600000000001046,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.43199999999999994
20240410HHOB0-20240410HHOB0-038-01,20240410HHOB0-038,이야선,B,143.0,144.321,0.23799999999999955,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.636
20240410KTNC0-20240410KTNC0-008-03,20240410KTNC0-008,삼진,B,139.0,139.431,1.127999999999986,포심,Fastball,1,1,1,1,strike,equal_length,vb_flow_supports_strike,0.5043731778425651
20240410SSLT0-20240410SSLT0-034-01,20240410SSLT0-034,삼희,B,135.0,136.86,-0.30100000000001614,포심,ChangeUp,0,0,0,0,strike,equal_length,vb_flow_undecided,1.7703875072296118
20240410WOSK0-20240410WOSK0-044-01,20240410WOSK0-044,삼진,B,132.0,133.079,0.47999999999998977,체인지업,ChangeUp,0,0,0,0,strike,equal_length,vb_flow_supports_strike,0.36
20240410WOSK0-20240410WOSK0-058-02,20240410WOSK0-058,삼진,B,136.0,136.766,0.7930000000000064,포심,Fastball,0,1,0,1,strike,equal_length,vb_flow_supports_strike,0.8639999999999999
20240411HHOB0-20240411HHOB0-043-01,20240411HHOB0-043,중비,B,142.0,143.228,0.33099999999998886,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,1.392
20240411KTNC0-20240411KTNC0-092-01,20240411KTNC0-092,포희,B,144.0,145.283,0.27600000000001046,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,0.8279999999999998
20240412LGOB0-20240412LGOB0-016-01,20240412LGOB0-016,삼BO,B,151.0,151.907,0.6519999999999868,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,1.3564356435643565
20240412SKKT0-20240412SKKT0-023-01,20240412SKKT0-023,삼진,B,142.0,144.734,-1.1750000000000114,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_supports_strike,0.66
20240413LGOB0-20240413LGOB0-010-01,20240413LGOB0-010,볼넷,B,145.0,147.037,-0.47800000000000864,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_supports_strike,0.4558221181977769
20240413LTWO0-20240413LTWO0-013-01,20240413LTWO0-013,삼진,B,140.0,141.627,-0.06800000000001205,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_broken_either_way,1.404
20240413LTWO0-20240413LTWO0-013-02,20240413LTWO0-013,삼진,B,139.0,140.645,-0.08600000000001273,포심,Fastball,1,0,0,1,strike,equal_length,vb_flow_broken_either_way,0.5527666856816882
20240414HTHH0-20240414HTHH0-012-02,20240414HTHH0-012,투야선,B,136.0,138.045,-0.48599999999999,슬라이더,Slider,1,0,1,0,strike,equal_length,vb_flow_undecided,0.6734449760765547
20240414HTHH0-20240414HTHH0-012-03,20240414HTHH0-012,투야선,B,133.0,135.917,-1.358000000000004,슬라이더,Slider,2,0,1,1,strike,equal_length,vb_flow_undecided,1.236
20240414HTHH0-20240414HTHH0-040-02,20240414HTHH0-040,삼진,B,144.0,146.871,-1.3120000000000118,투심,Sinker,1,0,1,0,strike,equal_length,vb_flow_supports_strike,0.9950980392156865
20240414LGOB0-20240414LGOB0-018-01,20240414LGOB0-018,삼진,B,140.0,141.355,0.20400000000000773,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,1.3024054982817868
20240414NCSS0-20240414NCSS0-017-01,20240414NCSS0-017,유내안,B,123.0,124.964,-0.40500000000000114,체인지업,ChangeUp,0,0,0,0,strike,equal_length,vb_flow_undecided,1.068
20240414SKKT0-20240414SKKT0-019-02,20240414SKKT0-019,우중안,B,142.0,144.68,-1.1210000000000093,포심,Fastball,0,1,0,1,strike,equal_length,vb_flow_undecided,0.972
20240416HHNC0-20240416HHNC0-020-03,20240416HHNC0-020,삼진,B,152.0,152.769,0.789999999999992,포심,Fastball,1,1,1,1,strike,equal_length,vb_flow_supports_strike,0.624
20240416HHNC0-20240416HHNC0-070-01,20240416HHNC0-070,삼진,B,145.0,146.5,0.0589999999999975,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_supports_strike,1.38
20240416HTSK0-20240416HTSK0-012-01,20240416HTSK0-012,우안,B,137.0,137.686,0.8729999999999905,커터,Cutter,0,0,0,0,strike,equal_length,vb_flow_undecided,0.47550432276657123
20240416OBSS0-20240416OBSS0-061-03,20240416OBSS0-061,일실,B,131.0,133.85,-1.2909999999999968,슬라이더,Slider,1,1,1,1,strike,equal_length,vb_flow_undecided,1.224
20240416OBSS0-20240416OBSS0-067-02,20240416OBSS0-067,삼진,B,146.0,147.242,0.3170000000000073,포심,Fastball,1,0,1,0,strike,equal_length,vb_flow_supports_strike,0.132
20240417HHNC0-20240417HHNC0-021-02,20240417HHNC0-021,삼진,B,109.0,109.823,0.7360000000000042,커브,Curveball,0,1,0,1,strike,equal_length,vb_flow_supports_strike,0.7831753554502364
20240417LTLG0-20240417LTLG0-055-03,20240417LTLG0-055,좌비,B,140.0,141.563,-0.003999999999990678,포심,Fastball,1,1,1,1,strike,equal_length,vb_flow_supports_strike,0.348
20240417LTLG0-20240417LTLG0-081-01,20240417LTLG0-081,볼넷,B,145.0,146.438,0.12100000000000932,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_supports_strike,0.353960396039604
20240418LTLG0-20240418LTLG0-052-01,20240418LTLG0-052,유실,B,144.0,145.54,0.019000000000005457,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,1.7135069654754693
20240419KTLT0-20240419KTLT0-066-03,20240419KTLT0-066,투희,B,141.0,143.163,-0.6040000000000134,포심,Sinker,2,0,2,0,strike,equal_length,vb_flow_supports_strike,1.4240963855421687
20240419LGSK0-20240419LGSK0-018-01,20240419LGSK0-018,이야선,B,135.0,135.295,1.26400000000001,포심,Fastball,0,0,0,0,strike,equal_length,vb_flow_undecided,1.176
