season,batter_id,batter_name,batter_stance,pitches_seen,qualified_300,swing_pct,expected_swing_pct,decision_value,decision_value_per_100,decision_capture_pct,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,in_zone_pitches,in_zone_decision_value_per_100,out_zone_pitches,out_zone_decision_value_per_100,heart_pitches,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_pitches,shadow_decision_value_per_100,shadow_swing_decision_value_per_100,shadow_take_decision_value_per_100,chase_pitches,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100,zone_awareness_plus,z_zone_awareness_plus,o_zone_awareness_plus
2023,69064,강민성,,105,False,43.809524,43.999259,4.175438,3.976608,43.458372,46,0.500514,59,6.686783,53,3.093665,52,4.876531,32,2.769815,7.529999,-3.350421,33,1.384197,-0.834841,5.267514,28,6.48274,-12.813938,11.745471,12,8.47621,-18.101047,10.892325,79.65,74.329,89.611
2023,74540,강민호,,1675,True,43.701493,42.520499,84.243562,5.029466,50.900126,732,0.54852,943,8.507784,770,3.80122,905,6.074494,405,6.075963,9.695895,-3.052561,696,1.591677,-1.617487,4.621558,377,5.478163,-16.440236,12.553577,197,14.165058,-29.25675,16.981607,98.448,88.689,101.914
2023,68050,강백호,,1134,True,42.239859,44.188545,51.336551,4.527033,45.871712,479,1.537424,655,6.713327,567,4.313384,567,4.740682,296,6.070909,11.131947,-3.272546,479,1.482394,-0.959745,3.682258,246,5.740179,-16.63222,11.591422,113,10.747921,-37.200258,14.897283,89.477,99.084,88.216
2023,63123,강승호,,1701,True,46.38448,45.388135,83.279247,4.895899,49.266101,789,2.587133,912,6.893286,848,4.81092,853,4.980381,460,6.258583,11.128274,-4.214588,712,2.100581,0.762445,3.47684,365,4.81658,-14.194129,12.189554,164,13.386044,-23.372678,16.288049,96.063,109.182,90.678
2023,53460,강준서,,57,False,35.087719,39.9796,2.425939,4.256033,60.93967,20,1.851638,37,5.555706,31,0.978052,26,8.164395,15,0.493663,4.362704,-5.309898,22,3.825765,1.735039,5.273191,12,7.63312,-8.923457,10.944435,8,7.428082,,7.428082,84.639,31.392,123.378
2023,62925,강진성,,532,True,47.932331,45.254868,20.877851,3.924408,47.158381,255,1.94231,277,5.749083,269,3.497364,263,4.361194,143,5.149729,9.652602,-5.322068,230,1.255396,-1.514691,4.611463,119,5.017838,-9.620643,9.521987,40,11.637749,-9.742036,12.185948,78.718,82.523,84.319
2023,64610,강한울,,828,True,43.961353,46.072003,37.586933,4.539485,46.601306,364,1.377457,464,7.020041,423,3.892136,405,5.215604,238,5.440712,10.743692,-3.43731,335,1.967308,-1.142439,4.743241,187,5.818894,-15.626404,13.433529,68,10.538566,-19.15208,14.497318,89.7,90.535,93.094
2023,50066,강현우,,442,True,47.058824,48.860306,22.157224,5.012947,55.187659,208,4.911827,234,5.102831,249,5.191171,193,4.783009,137,7.698271,14.090934,-3.782431,191,1.60188,0.445911,2.845803,89,5.621573,-12.15851,10.447596,25,14.191205,-15.737887,16.793734,98.153,116.899,88.651
2023,51868,고명준,,17,False,52.941176,45.892112,0.399468,2.349811,20.524601,9,4.258516,8,0.202519,11,3.770286,6,-0.254392,8,5.661015,15.733787,-11.126938,3,-1.271657,-1.114079,-1.350447,1,-5.685599,-5.685599,,5,0.831849,-16.771307,12.567287,50.604,88.062,36.917
2023,69517,고승민,,1151,True,42.137272,45.156206,62.823935,5.458205,57.952401,485,2.154119,666,7.864333,561,4.041812,590,6.804978,314,5.699522,9.664508,-3.170601,486,1.666387,-2.108932,4.975258,235,9.060072,-12.891194,13.294327,116,13.394504,-27.952513,14.492213,106.103,93.572,109.416
2023,61353,고종욱,,1032,True,53.488372,45.810563,43.169575,4.183098,45.383021,552,1.191183,480,7.623801,498,4.96855,534,3.450599,279,7.675299,9.812016,-0.833411,415,0.962558,-1.413233,4.635559,224,2.610471,-14.268118,9.661021,114,10.450369,-21.156026,13.825809,83.336,112.381,74.967
2023,68407,공민규,,124,False,56.451613,46.52505,6.348335,5.119625,51.012595,70,4.532063,54,5.881279,59,7.416836,65,3.034464,34,4.796646,10.03463,-6.155502,50,5.327126,5.035127,6.008457,27,2.679552,-7.481796,10.808631,13,10.234098,,10.234098,100.058,162.071,70.694
2023,53506,구드럼,,770,True,44.935065,46.341116,50.431916,6.5496,58.795461,346,3.879481,424,8.728517,374,5.684743,396,7.366409,225,8.136902,12.443324,-4.262621,302,2.205541,-1.091279,5.054645,172,8.666913,-14.27143,14.112706,71,14.867693,-18.666406,17.963148,125.589,126.917,115.182
2023,62404,구자욱,,1948,True,45.533881,44.076078,82.858514,4.253517,43.99138,887,0.499114,1061,7.392213,890,4.034261,1058,4.437957,451,5.993026,10.056295,-3.619334,852,1.411112,-1.218378,4.0779,432,4.096012,-15.281244,12.074882,213,12.259399,-19.800705,14.688195,84.594,93.419,85.107
2023,79290,국해성,,37,False,37.837838,39.457963,2.531736,6.84253,79.071427,14,1.40628,23,10.151551,13,3.12945,24,8.853781,7,5.820866,6.954946,-0.983615,16,5.701036,-0.033044,9.141484,10,8.470392,-10.921748,13.318427,4,9.126758,,9.126758,130.819,75.055,130.457
2023,52769,권광민,,319,True,46.394984,46.216496,10.462082,3.27965,42.388005,148,0.246028,171,5.90524,156,2.505398,163,4.020651,81,3.711857,9.283258,-3.252395,141,0.700816,-1.709244,4.149696,70,5.689165,-11.087321,11.070302,27,9.203375,-16.994263,12.47808,67.206,62.39,80.822
2023,68204,권민석,,4,False,75.0,35.814875,-0.343016,-8.575406,-100.0,3,-9.844982,1,-4.766677,0,,4,-8.575406,0,,,,2,-9.500908,-14.235138,-4.766677,2,-7.649904,-7.649904,,0,,,,-144.458,,-48.539
2023,63963,권희동,,1639,True,39.231239,46.827374,113.73816,6.939485,65.757194,643,5.705339,996,7.736228,840,5.640177,799,8.305466,453,7.761744,13.419123,-3.009033,681,2.971143,1.89742,3.791734,354,9.43091,-17.086895,13.792391,151,16.528845,-22.340544,16.787974,132.55,126.012,124.826
2023,71837,김강민,,701,True,44.507846,43.660302,30.396143,4.336112,44.472363,312,-0.547757,389,8.253251,323,4.02365,378,4.60311,182,5.613716,9.428499,-2.542025,288,1.318657,-3.173738,6.067759,156,4.775678,-20.67529,12.410969,75,11.90852,-31.502598,14.354217,86.068,93.204,86.803
2023,69702,김건,,46,False,67.391304,46.072265,0.460119,1.000259,10.708044,31,-2.159038,15,7.529472,19,4.608474,27,-1.538856,13,5.992635,8.841961,-9.678659,18,-1.574067,-4.275724,7.881734,12,-3.984204,-17.388601,9.420194,3,14.750432,,14.750432,26.509,105.073,23.726
2023,53844,김건웅,,8,False,75.0,50.973356,0.002357,0.029463,1.02129,6,0.13007,2,-0.272358,5,2.222502,3,-3.625602,2,5.7582,5.7582,,4,-1.315738,-2.359117,-0.272358,2,-3.008875,-3.008875,,0,,,,9.176,56.648,2.295
2023,53312,김건희,,53,False,49.056604,35.327107,1.138677,2.148448,22.434806,26,-4.507043,27,8.557439,21,0.43395,32,3.273587,10,4.472849,5.678665,-0.350415,21,-2.445576,-5.699449,2.841967,10,9.298267,-20.649803,12.625831,12,2.292806,-16.967447,11.922933,47.009,20.349,73.149
2023,66614,김규성,,745,True,44.295302,46.510994,37.252254,5.000303,52.90704,330,2.834513,415,6.722496,369,4.277013,376,5.710127,199,6.000219,10.512102,-4.452309,320,1.932123,-0.243149,3.925037,154,6.835583,-12.021886,12.588709,72,11.947536,-27.901513,13.08608,97.927,98.346,98.172
2023,66112,김기연,,153,False,51.633987,44.290517,7.462549,4.877483,44.541627,79,1.314443,74,8.68127,72,5.13191,81,4.651326,35,5.327627,10.240031,-4.087814,73,2.138755,0.514418,4.906144,33,10.004267,-15.187328,18.065577,12,6.126505,-16.922178,10.736242,95.734,115.697,87.299
2023,69238,김대한,,332,True,45.783133,44.301977,19.521967,5.880111,53.711228,152,2.619895,180,8.633182,165,5.371263,167,6.382865,97,8.201336,12.385047,-3.847751,127,0.360225,-2.323807,3.002319,73,8.495744,-19.929329,15.847056,35,14.020834,-24.079801,16.329963,113.635,120.554,105.081
2023,52605,김도영,,1411,True,45.357902,45.032941,68.454978,4.851522,52.843483,640,1.599345,771,7.551125,689,4.141968,722,5.528645,360,6.442283,10.167828,-3.244133,619,1.35199,-1.849149,4.647589,311,6.660402,-15.465143,12.059035,121,13.371976,-19.209585,14.776353,95.271,95.605,96.309
2023,69442,김도환,,29,False,48.275862,56.019386,1.922612,6.629696,76.529024,14,8.830043,15,4.576039,18,6.688536,11,6.533413,10,8.207011,9.535055,-3.745381,13,6.390772,11.035101,4.326626,6,4.518505,-6.335302,6.689267,0,,,,127.019,147.289,106.627
2023,66838,김동엽,,686,True,48.979592,43.957222,35.695616,5.203443,54.596454,336,2.858257,350,7.45482,329,5.673069,357,4.77065,182,7.803302,12.474082,-2.981952,290,1.701951,0.122034,3.566966,149,5.651593,-11.360496,13.249225,65,12.518576,-20.068413,15.832507,101.554,126.68,88.524
