season,batter_id,batter_name,batter_stance,pitches_seen,qualified_300,swing_pct,expected_swing_pct,decision_value,decision_value_per_100,decision_capture_pct,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,in_zone_pitches,in_zone_decision_value_per_100,out_zone_pitches,out_zone_decision_value_per_100,heart_pitches,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_pitches,shadow_decision_value_per_100,shadow_swing_decision_value_per_100,shadow_take_decision_value_per_100,chase_pitches,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100,za_with_contact_plus,z_za_with_contact_plus,o_za_with_contact_plus,terminal_plate_appearances,walks,strikeouts,hit_by_pitch,bb_pct,k_pct,hbp_pct,z_swing_pct,o_swing_pct,heart_swing_pct,shadow_in_swing_pct,shadow_out_swing_pct,chase_swing_pct,waste_swing_pct,shadow_in_pitches,shadow_out_pitches,heart_vs_chase_residual,zone_vs_out_residual,pure_hc_residual_z,pure_zo_residual_z,pure_z_attack_z,out_zone_take_pct,pure_o_restraint_z,pure_cluster_id,pure_cluster_distance,pure_hc_residual_z_adjusted,pure_zo_residual_z_adjusted,pure_z_attack_z_adjusted,pure_o_restraint_z_adjusted,pure_z_attack_z_final,pure_o_restraint_z_final,zone_awareness_raw,z_zone_awareness_raw,o_zone_awareness_raw,zone_awareness_plus,z_zone_awareness_plus,o_zone_awareness_plus,bb_vs_oza_residual,bb_vs_oza_residual_z,bb_vs_oza_residual_outlier,k_vs_zza_residual,k_vs_zza_residual_z,k_vs_zza_residual_outlier,za_with_contact_value,za_with_contact_per_100
2024,69064,강민성,,5,False,40.0,37.750518,0.193365,3.867304,51.613725,2,4.103899,3,3.709574,1,16.681855,4,0.663666,1,16.681855,16.681855,,1,-0.589637,,-0.589637,3,1.081434,-8.474058,5.859179,0,,,,64.281,246.354,54.016,1,0,0,0,0.0,0.0,0.0,100.0,25.0,100.0,,0.0,33.3333,,0,1,26.437555,35.397982,3.795339,6.299427,5.217936,75.0,0.661466,,,3.795339,6.299427,5.217936,0.661466,7.628819,0.86273,4.245774,7.628819,0.86273,214.029,214.432,112.941,,,,,,,0.193365,3.867304
2024,74540,강민호,,1562,True,48.207426,44.633687,105.374067,6.746099,55.361749,753,4.72431,809,8.627937,720,6.493187,842,6.962366,378,7.507133,12.04613,-4.941403,653,3.555125,4.610117,2.029931,339,6.703112,-15.454602,13.215112,192,16.176347,-28.374857,19.41191,104.372,98.168,105.432,448,33,50,8,7.3661,11.1607,1.7857,70.5556,29.0974,73.2804,67.5439,49.8392,22.7139,6.7708,342,311,2.154236,3.824559,0.309259,0.680619,0.61473,70.9026,-0.035196,3,0.913447,-0.000836,0.380688,0.393809,-0.124286,0.575763,-0.162102,0.206831,0.575763,-0.162102,105.555,108.636,97.568,-1.23236,-0.672031,False,-9.891379,-1.538684,True,105.374067,6.746099
2024,68050,강백호,,2454,True,43.643032,43.343482,131.109618,5.34269,42.672963,1071,1.622732,1383,8.223439,1002,5.582962,1452,5.176883,537,6.165236,12.753287,-5.482708,942,3.256718,3.701791,2.776274,638,4.448569,-17.576749,14.143687,337,11.555533,-23.162304,16.769133,84.828,84.93,90.857,611,57,127,3,9.329,20.7856,0.491,60.3792,32.0937,63.8734,56.3441,47.5891,30.5643,13.0564,465,477,-9.053787,-7.908728,-1.299749,-1.407438,-0.976203,67.9063,-0.544643,1,1.31565,-0.985542,-1.027191,-0.905408,0.006353,-1.323741,0.008286,-0.657728,-1.323741,0.008286,82.335,80.144,100.124,0.36185,0.197324,False,4.222289,0.656811,False,131.109618,5.34269
2024,54567,강성우,,7,False,85.714286,52.43658,0.32092,4.584576,62.602586,6,3.827597,1,9.126451,4,8.05687,3,-0.045149,4,8.05687,8.05687,,2,4.725045,0.32364,9.126451,1,-9.585539,-9.585539,,0,,,,74.27,120.911,48.23,4,0,0,0,0.0,0.0,0.0,100.0,66.6667,100.0,,50.0,100.0,,0,2,11.143016,13.747828,1.599676,2.446564,5.217936,33.3333,-6.422927,,,1.599676,2.446564,5.217936,-6.422927,7.628819,-8.377225,-0.374203,7.628819,-8.377225,89.95,214.432,-25.658,,,,,,,0.32092,4.584576
2024,54506,강승구,,8,False,50.0,53.382805,-0.689236,-8.615448,-34.222741,4,-9.702853,4,-7.528044,3,-30.27523,5,4.380421,0,,,,7,-17.767366,-9.702853,-28.520051,0,,,,1,55.447978,,55.447978,-109.555,-436.599,84.356,2,0,1,0,0.0,50.0,0.0,33.3333,60.0,,33.3333,75.0,,0.0,3,4,,-49.454833,,-8.800985,-5.204438,40.0,-5.28942,,,,-8.800985,-5.204438,-5.28942,-7.609085,-6.898827,-7.253956,-7.609085,-6.898827,-94.821,-14.136,-3.482,,,,,,,-0.689236,-8.615448
2024,63123,강승호,,2139,True,51.846657,45.097998,121.172806,5.664928,45.589126,1109,2.858073,1030,8.687066,936,7.421053,1203,4.298566,501,8.937369,13.627382,-5.021002,860,3.0031,3.158487,2.754761,498,3.661121,-16.23011,13.878804,280,11.549125,-24.128254,16.813001,89.315,111.663,83.687,564,29,158,7,5.1418,28.0142,1.2411,72.8632,35.4946,74.8503,70.5747,52.2353,33.9357,12.8571,435,425,1.149654,2.808153,0.165043,0.499739,0.97549,64.5054,-1.122882,4,1.816683,-0.584816,-0.247391,0.071155,-0.603819,0.104031,-0.787542,-0.341755,0.104031,-0.787542,90.821,101.56,88.187,-2.103495,-1.147078,False,8.076909,1.256429,False,121.172806,5.664928
2024,62925,강진성,,103,False,49.514563,42.771745,4.642445,4.507228,42.866283,51,1.015435,52,7.931871,42,4.698826,61,4.375307,22,5.646106,13.138274,-5.175913,42,1.850416,1.527126,2.375761,29,5.627803,-13.521928,15.706609,10,9.910637,-11.748195,15.325345,73.193,72.071,84.314,31,3,5,0,9.6774,16.129,0.0,64.2857,39.3443,59.0909,70.0,54.5455,34.4828,20.0,20,22,-14.735261,-7.769663,-2.115374,-1.38269,-0.365478,60.6557,-1.777428,1,2.670043,-1.801167,-1.002443,-0.294683,-1.226432,-0.430838,-1.599597,-1.015217,-0.430838,-1.599597,72.734,93.537,76.006,,,,,,,4.642445,4.507228
2024,65514,강태율,,34,False,64.705882,50.212278,0.781499,2.298527,14.456379,22,-1.025126,12,8.39189,17,4.912632,17,-0.315579,11,11.135304,12.584928,-3.360934,12,-6.508523,-3.291688,-16.159028,8,-5.576978,-39.592289,14.832209,3,26.126552,,26.126552,42.434,75.18,46.023,10,0,4,0,0.0,40.0,0.0,82.3529,47.0588,90.9091,66.6667,83.3333,37.5,0.0,6,6,16.390739,6.289057,2.353032,1.119201,2.459067,52.9412,-3.089088,4,4.789755,1.603173,0.372071,1.554732,-2.570025,2.273076,-3.352004,-0.539464,2.273076,-3.352004,85.512,134.096,49.72,,,,,,,0.781499,2.298527
2024,64610,강한울,,95,False,45.263158,46.557871,4.878716,5.13549,33.024027,43,-1.441519,52,10.574171,43,4.883325,52,5.344011,26,3.124098,8.323086,-6.696214,35,5.777028,9.341322,2.775517,25,-0.178501,-35.293895,23.231761,9,23.212396,,23.212396,81.942,74.754,92.221,25,0,6,0,0.0,24.0,0.0,62.7907,30.7692,65.3846,58.8235,33.3333,40.0,0.0,17,18,-9.707306,-4.809013,-1.393567,-0.855812,-0.5992,69.2308,-0.319444,2,1.727207,-1.0174,-0.528589,-0.132839,-0.693894,-0.194216,-0.905025,-0.54962,-0.194216,-0.905025,85.239,97.087,86.425,,,,,,,4.878716,5.13549
2024,50066,강현우,,143,False,34.265734,40.421965,15.121987,10.574816,59.779219,49,2.549656,94,14.758144,58,6.163317,85,13.585015,30,5.923006,14.901177,-5.81768,55,3.940316,1.403959,5.763323,37,14.720893,-18.802354,23.968685,21,27.291337,-10.2591,29.168859,157.691,93.37,159.491,36,8,10,0,22.2222,27.7778,0.0,51.7241,22.3529,56.6667,46.4286,37.037,21.6216,4.7619,28,27,-14.208871,-11.502476,-2.039806,-2.046981,-2.329303,77.6471,1.11154,2,2.305019,-1.663639,-1.719758,-1.862942,0.73709,-2.723692,0.961364,-0.881164,-2.723692,0.961364,76.334,59.145,114.42,,,,,,,15.121987,10.574816
