season,batter_id,batter_name,batter_stance,team,pitches_seen,qualified_300,swing_pct,expected_swing_pct,decision_value,decision_value_per_100,decision_capture_pct,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,in_zone_pitches,in_zone_decision_value_per_100,out_zone_pitches,out_zone_decision_value_per_100,heart_pitches,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_pitches,shadow_decision_value_per_100,shadow_swing_decision_value_per_100,shadow_take_decision_value_per_100,chase_pitches,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100,zone_awareness_plus,z_zone_awareness_plus,o_zone_awareness_plus
2026,53103,강민균,R,—,27,False,55.555556,52.601473,2.647157,9.804284,62.01502,15,9.845586,12,9.752658,13,14.665823,14,5.289999,8,14.460679,20.31058,-3.089024,8,10.983277,15.451332,-2.420889,7,1.277728,-26.846366,12.527365,4,13.054985,-13.194952,21.804964,148.887,228.035,87.78
2026,69064,강민성,R,—,8,False,75.0,44.995657,0.379131,4.739142,33.641797,6,4.017169,2,6.905063,4,14.382822,4,-4.904537,3,8.308411,8.308411,,2,14.321315,32.606053,-3.963423,3,-5.218242,-16.714137,17.77355,0,,,,74.472,223.793,3.558
2026,74540,강민호,R,—,1117,True,41.897941,47.214197,78.64833,7.041032,49.698932,468,4.795572,649,8.660255,514,6.820684,603,7.228858,269,9.477439,16.617207,-5.207764,454,1.931908,2.485101,1.40256,281,8.590255,-18.726267,15.850051,113,17.915521,-35.03826,20.884892,108.29,110.441,103.797
2026,68050,강백호,L,—,1938,True,41.382869,42.952515,111.794021,5.768525,44.084695,802,3.060651,1136,7.680247,826,5.66411,1112,5.846086,443,6.925731,15.169787,-6.569005,732,3.269341,4.31062,2.239381,475,5.575095,-19.395592,14.300647,288,10.659637,-22.511437,16.009811,89.596,93.104,92.374
2026,63123,강승호,R,—,829,True,49.698432,46.597301,47.959269,5.785195,46.259425,412,2.429133,417,9.101017,337,6.780097,492,5.103728,187,9.439407,14.627486,-5.171918,343,1.7565,0.38216,3.823025,193,4.29726,-16.545145,13.699849,106,15.08403,-12.97581,17.374629,89.84,109.832,86.241
2026,50066,강현우,R,—,115,False,35.652174,44.208148,6.604575,5.743109,44.114922,41,1.778416,74,7.939762,50,4.952299,65,6.351423,27,7.107239,16.284298,-4.364086,41,1.545474,3.279363,0.317303,27,2.809587,-25.233175,16.830968,20,16.466938,,16.466938,89.222,82.435,96.548
2026,51868,고명준,R,—,585,True,51.282051,45.300261,28.262427,4.831184,39.16026,300,1.604919,285,8.227253,253,5.151805,332,4.586855,128,6.721596,11.358819,-6.098961,246,1.182992,1.969568,-0.025253,135,4.41039,-14.580234,14.55311,76,14.203417,-19.444787,19.30163,75.825,85.425,81.971
2026,69517,고승민,L,—,1531,True,40.692358,45.612058,85.341114,5.574207,47.751098,623,4.009682,908,6.647665,716,5.095792,815,5.994508,367,5.836695,12.74287,-5.106188,630,3.620649,5.051186,2.360921,353,5.098633,-16.882075,12.620548,181,12.769162,-26.140557,15.780033,86.741,84.586,93.6
2026,61353,고종욱,L,—,130,False,47.692308,45.128065,9.164625,7.049711,45.531948,62,3.821701,68,9.992898,61,8.594671,69,5.683878,26,9.600102,16.180471,-5.205727,59,6.020722,8.680288,3.076202,28,8.532093,-22.636657,20.999593,17,4.278743,-28.45974,17.919778,108.418,137.032,91.034
2026,56949,고준휘,L,—,195,False,48.717949,46.775712,7.311506,3.74949,29.722709,95,1.102057,100,6.264552,96,5.099133,99,2.440746,46,5.791416,12.179019,-8.808819,80,4.030104,5.880678,1.650795,51,-1.783873,-31.936131,12.000016,18,12.961928,-19.342783,17.000017,59.933,84.636,64.241
2026,69100,구본혁,R,—,1102,True,50.272232,47.063488,69.74926,6.329334,54.938723,554,4.752671,548,7.92326,512,7.831227,590,5.025996,266,8.693714,12.377243,-4.229854,460,3.457977,4.426127,2.130512,264,5.859171,-13.751162,13.49688,112,13.615247,-12.696206,15.369344,97.835,125.588,85.599
2026,62404,구자욱,L,—,1716,True,44.055944,43.520668,129.674402,7.556783,58.239871,756,5.560025,960,9.129231,747,7.500674,969,7.600038,382,8.683417,14.31262,-4.717073,712,5.047009,5.642404,4.399234,404,7.242422,-14.831194,14.69775,218,14.362227,-16.233275,16.461919,115.868,120.633,106.864
