season,batter_id,batter_name,team,batter_stance,pitches_seen,qualified_300,swing_aggression,za_raw,za_percentile,raw_dv,dv_per_100,swing_pct,z_swing_pct,o_swing_pct,z_minus_o_swing,heart_swing_pct,meatball_swing_pct,heart_only_swing_pct,heart_only_pitches,meatball_pitches,shadow_swing_pct,chase_swing_pct,waste_swing_pct,z_swing_residual,o_swing_residual,heart_swing_residual,meatball_swing_residual,waste_swing_residual,shadow_swing_residual,heart_only_swing_residual,cluster_id,cluster_distance,cluster_distance_outlier,sensitivity_cluster_id,sensitivity_cluster_distance,sensitivity_cluster_distance_outlier,sensitivity_residual_outlier,z_swing_residual_z,o_swing_residual_z,heart_swing_residual_z,meatball_swing_residual_z,waste_swing_residual_z,shadow_swing_residual_z,heart_only_swing_residual_z
2025,69064,강민성,KT,,175,False,-8.417426,1.138965,62.573,10.840067,6.194324,37.142857,59.459459,20.792079,38.66738,55.555556,100.0,48.387097,31,5,52.054795,15.909091,0.0,,,,,,,,,,,,,,,,,,,,,
2025,74540,강민호,SAM,,1678,True,1.922258,1.577375,65.789,104.963934,6.2553,45.887962,66.709022,27.497194,39.211828,69.951923,69.172932,70.318021,283,133,55.239521,25.063939,5.91133,-0.031751,-1.484864,-1.866305,-5.608034,-1.277851,0.885906,-0.316322,1,1.177452,False,1,1.228362,False,False,-0.005807,-0.264148,-0.346329,-0.769714,-0.29556,0.134692,-0.055469
2025,68050,강백호,KT,,1444,True,0.529294,-2.323112,16.082,84.95715,5.883459,42.728532,60.469012,30.224321,30.244691,61.63522,61.0,61.926606,218,100,52.504638,32.60274,8.558559,-1.650945,-1.618474,-4.838933,-8.002271,-1.710086,-0.219814,-3.544486,1,1.018962,False,1,0.975298,False,False,-0.301966,-0.287917,-0.897957,-1.098327,-0.395534,-0.03342,-0.621545
2025,54506,강승구,LOT,,1,False,59.031463,-59.01971,0.0,-0.07935,-7.935024,100.0,,100.0,,,,,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,
2025,63123,강승호,DOO,,1516,True,6.332638,0.147992,52.339,84.558853,5.577761,51.781003,72.51462,34.735577,37.779043,74.855491,73.626374,75.294118,255,91,63.606557,34.180791,8.252427,7.467204,4.705166,4.995667,0.963084,-0.065263,9.849969,6.551914,2,1.203437,False,2,1.243462,False,False,1.365789,0.837021,0.927042,0.132185,-0.015095,1.497571,1.148915
2025,62925,강진성,KIW,,45,False,0.794421,4.423287,92.982,3.107933,6.906517,44.444444,61.904762,29.166667,32.738095,63.636364,66.666667,62.5,8,3,55.555556,30.0,0.0,,,,,,,,,,,,,,,,,,,,,
2025,51269,강현구,DOO,,8,False,25.710604,-13.715516,0.0,-0.276661,-3.458267,75.0,100.0,66.666667,33.333333,100.0,100.0,100.0,1,1,80.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2025,50066,강현우,KT,,288,False,-0.094168,0.42822,54.386,20.473978,7.10902,42.361111,63.157895,24.516129,38.641766,63.793103,58.823529,65.853659,41,17,51.587302,23.880597,10.810811,,,,,,,,,,,,,,,,,,,,,
2025,51868,고명준,SSG,,1689,True,8.313366,-0.553437,40.643,77.968764,4.616268,52.457075,71.483871,36.323851,35.16002,75.0,77.777778,74.063401,347,117,58.280255,35.824742,15.789474,7.267421,5.77899,6.101207,6.153678,6.918001,4.816641,6.24971,2,1.104267,False,2,1.046031,False,False,1.329248,1.028048,1.132196,0.844604,1.600097,0.732313,1.095922
2025,69517,고승민,LOT,,2150,True,-5.907761,-1.500909,22.515,143.82761,6.689656,39.72093,56.679764,24.469965,32.209799,62.142857,67.096774,60.246914,405,155,45.519713,19.961977,8.810573,-6.414238,-6.769801,-5.4578,-3.123617,-0.808937,-7.548159,-6.312565,1,1.031832,False,1,1.127866,False,False,-1.173197,-1.204307,-1.012799,-0.428722,-0.187103,-1.147608,-1.106944
2025,54908,고승완,NC,,49,False,8.183571,-12.973838,0.0,1.502793,3.066924,55.102041,63.157895,50.0,13.157895,50.0,50.0,50.0,8,2,89.473684,38.461538,0.0,,,,,,,,,,,,,,,,,,,,,
2025,54344,고영우,KIW,,91,False,0.932962,-0.526479,40.936,3.698923,4.064751,46.153846,63.636364,29.787234,33.84913,88.0,100.0,84.210526,19,6,37.142857,33.333333,0.0,,,,,,,,,,,,,,,,,,,,,
2025,61353,고종욱,KIA,,428,True,7.178743,2.916023,82.164,25.503869,5.958848,54.439252,75.121951,35.426009,39.695942,78.899083,85.294118,76.0,75,34,63.276836,27.835052,17.777778,6.795313,7.425756,5.246767,8.529903,11.64547,8.364092,3.593628,2,2.215422,False,2,2.164163,False,True,1.242897,1.320998,0.973638,1.170746,2.693535,1.271661,0.630163
2025,69100,구본혁,LG,,1508,True,0.284505,-1.173365,28.363,95.198153,6.312875,45.291777,63.338301,30.824373,32.513928,67.208672,72.340426,65.454545,275,94,51.880878,26.785714,8.484848,-0.143735,-0.175162,-0.840755,1.634769,-0.876063,-1.323803,-1.538519,1,1.369227,False,1,1.266508,False,False,-0.02629,-0.03116,-0.156018,0.224375,-0.202629,-0.201269,-0.269788
2025,62404,구자욱,SAM,,2508,True,-3.361099,1.129843,62.281,175.109126,6.982023,41.985646,62.399284,25.593098,36.806186,64.948454,74.117647,61.165049,412,170,49.560976,23.993289,7.868852,-3.811308,-3.717194,-6.256608,-0.000286,0.326341,-4.605713,-8.876876,1,0.932636,False,1,1.23007,False,False,-0.697107,-0.661267,-1.161033,-3.9e-05,0.075481,-0.700244,-1.55661
2025,52769,권광민,HAN,,73,False,10.153031,-0.279747,44.444,4.161056,5.700077,54.794521,69.69697,42.5,27.19697,80.0,75.0,81.818182,11,4,58.064516,47.058824,20.0,,,,,,,,,,,,,,,,,,,,,
2025,51003,권동진,KT,,1261,True,-2.465389,-0.342182,42.982,83.414294,6.614932,43.774782,62.900506,26.796407,36.104099,66.774194,67.816092,66.367713,223,87,53.585657,21.548822,7.894737,-1.566213,-3.593513,-2.41404,-4.120989,-0.809949,0.033806,-1.725626,1,0.840484,False,1,0.837341,False,False,-0.286468,-0.639264,-0.447971,-0.565614,-0.187337,0.00514,-0.302598
2025,55371,권혁빈,KIW,,91,False,-12.045758,-9.678735,0.0,3.172702,3.486486,34.065934,41.463415,28.0,13.463415,45.833333,57.142857,41.176471,17,7,30.769231,33.333333,14.285714,,,,,,,,,,,,,,,,,,,,,
2025,63963,권희동,NC,,2042,True,-13.786015,1.175725,62.865,174.75131,8.557851,34.916748,54.563691,16.172249,38.391442,58.708415,60.273973,58.082192,365,146,42.413793,8.798283,1.538462,-11.701256,-13.104392,-12.559511,-13.911936,-5.967825,-11.77206,-12.020469,1,3.440087,True,1,3.409454,True,True,-2.140219,-2.331193,-2.330658,-1.90944,-1.380326,-1.789802,-2.107856
2025,51005,김건형,KT,,1,False,51.030666,48.948813,100.0,0.046055,4.605519,100.0,100.0,,,,,,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,
2025,53312,김건희,KIW,,1351,True,2.126897,-3.249715,7.895,66.972791,4.957275,47.964471,62.852665,34.642356,28.210309,65.01548,71.590909,62.553191,235,88,54.578097,36.012862,13.75,1.830432,2.119962,-0.18913,3.96143,2.749795,2.24067,-1.691315,2,1.256192,False,2,1.469753,False,False,0.334795,0.377129,-0.035097,0.543714,0.636013,0.340667,-0.296582
2025,66614,김규성,KIA,,841,True,-1.86642,-0.998859,31.871,53.460123,6.356733,45.065398,63.989637,29.010989,34.978648,70.792079,75.0,69.480519,154,48,51.928783,25.229358,7.142857,0.300868,-1.860558,2.503561,4.035806,-2.080281,-1.348786,2.256453,1,1.791736,False,1,1.674497,False,False,0.05503,-0.330982,0.464584,0.553922,-0.481158,-0.205067,0.395682
2025,66112,김기연,DOO,,875,True,6.500509,0.059343,50.0,46.039231,5.261626,48.571429,67.195767,34.406439,32.789328,69.0,75.0,66.666667,144,56,59.883721,32.272727,9.009009,2.253371,4.31101,-0.738366,2.468047,0.62133,6.16416,-1.958188,2,1.270221,False,2,1.450086,False,False,0.412153,0.766903,-0.137018,0.338744,0.14371,0.937188,-0.343379
2025,69620,김기훈,KIA,,3,False,2.487518,-24.400445,0.0,-0.097552,-3.251731,66.666667,50.0,100.0,-50.0,100.0,100.0,,0,1,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,
2025,69238,김대한,DOO,,137,False,7.095645,3.767674,89.474,10.325902,7.537154,52.554745,80.701754,32.5,48.201754,81.818182,66.666667,87.5,24,9,66.0,32.432432,0.0,,,,,,,,,,,,,,,,,,,,,
2025,52605,김도영,KIA,,444,True,1.305049,4.610806,95.029,27.119542,6.108005,47.072072,69.346734,28.979592,40.367142,73.451327,82.857143,69.230769,78,35,60.119048,22.115385,3.389831,-0.987673,2.222345,-2.523019,3.582053,-1.404433,4.498424,-5.419064,2,2.031398,False,1,2.010542,False,False,-0.18065,0.395342,-0.468195,0.491644,-0.324838,0.683932,-0.950263
