season,batter_id,batter_name,batter_stance,pitches_seen,plate_appearances,terminal_plate_appearances,walks,strikeouts,hit_by_pitch,bb_pct,k_pct,hbp_pct,qualified_300,swing_pct,take_pct,zone_pct,z_swing_pct,o_swing_pct,z_minus_o_swing,heart_swing_pct,shadow_in_swing_pct,shadow_out_swing_pct,chase_swing_pct,waste_swing_pct,heart_minus_chase_swing,contact_pct,whiff_pct,z_contact_pct,o_contact_pct,simple_judgment_pct,seager_a_zone_swings,seager_b_out_swings,seager_c_zone_takes,seager_d_out_takes,selection_tendency_pct,hittable_take_pct,simple_seager,observed_decision_run,observed_decision_run_per_100,heart_pitches,shadow_in_pitches,shadow_out_pitches,chase_pitches,waste_pitches,heart_vs_chase_residual,zone_vs_out_residual,decision_run_residual,heart_vs_chase_residual_z,zone_vs_out_residual_z,decision_run_residual_z,heart_vs_chase_residual_outlier,zone_vs_out_residual_outlier,decision_run_residual_outlier,cluster_id,cluster_distance,pure_hc_residual_z,pure_zo_residual_z,pure_z_attack_z,out_zone_take_pct,pure_o_restraint_z,pure_cluster_id,pure_cluster_distance,pure_hc_residual_z_adjusted,pure_zo_residual_z_adjusted,pure_z_attack_z_adjusted,pure_o_restraint_z_adjusted,pure_z_attack_z_final,pure_o_restraint_z_final,zone_awareness_raw,z_zone_awareness_raw,o_zone_awareness_raw,zone_awareness_plus,z_zone_awareness_plus,o_zone_awareness_plus,bb_vs_oza_residual,bb_vs_oza_residual_z,bb_vs_oza_residual_outlier,k_vs_zza_residual,k_vs_zza_residual_z,k_vs_zza_residual_outlier
2026,53103,강민균,R,31,7,7,0,3,0,0.0,42.8571,0.0,False,54.8387,45.1613,51.6129,68.75,40.0,28.75,77.7778,57.1429,100.0,25.0,25.0,52.7778,76.4706,23.5294,81.8182,66.6667,64.5161,11,6,5,9,45.0,35.7143,9.2857,-2.726415,-8.794886,9,7,3,8,4,,,,,,,,,,,,1.204785,-0.49729,0.608188,60.0,-1.952947,4,6.734289,1.047915,-0.645751,0.115164,-1.257649,0.165934,-1.627649,-0.730857,0.165934,-1.627649,78.231,102.489,75.585,,,,,,
2026,69064,강민성,R,8,4,4,0,0,0,0.0,0.0,0.0,False,75.0,25.0,50.0,100.0,50.0,50.0,100.0,100.0,0.0,66.6667,,33.3333,83.3333,16.6667,100.0,50.0,75.0,4,2,0,2,33.3333,0.0,33.3333,0.264083,3.301038,3,1,1,3,0,,,,,,,,,,,,3.026788,4.17454,5.486597,50.0,-3.677467,,,3.026788,4.17454,5.486597,-3.677467,7.905387,-4.759377,1.573005,7.905387,-4.759377,146.852,218.581,28.609,,,,,,
2026,74540,강민호,R,1152,292,292,32,61,6,10.9589,20.8904,2.0548,True,42.2743,57.7257,46.3542,61.236,25.89,35.346,67.6157,54.1502,43.4579,21.1806,5.1724,46.4351,77.2074,22.7926,88.685,53.75,68.1424,327,160,207,458,58.3439,31.1278,27.2161,16.285622,1.413682,281,253,214,288,116,-1.270151,-1.994296,1.473347,-0.192288,-0.366517,1.222283,False,False,False,2,1.52555,-0.192288,-0.366517,-0.564816,74.11,0.480351,2,0.71107,0.040564,-0.154715,-0.204193,0.137906,-0.294213,0.178478,-0.057868,-0.294213,0.178478,98.276,95.587,102.677,1.483982,0.668483,False,1.300761,0.212646,False
2026,68050,강백호,L,2040,481,481,46,97,2,9.5634,20.1663,0.4158,True,41.2255,58.7745,42.6471,57.5862,29.0598,28.5264,62.039,52.5672,46.5565,25.6513,13.961,36.3877,75.3864,24.6136,84.2315,62.3529,65.2451,501,340,369,830,62.3591,30.7756,31.5835,33.486057,1.641473,461,409,363,499,308,-7.939888,-7.491962,1.98907,-1.20202,-1.376893,1.650125,False,False,True,2,2.566227,-1.20202,-1.376893,-1.134583,70.9402,-0.066287,1,0.732991,-0.517692,-0.619578,-0.547233,0.0397,-0.788483,0.05138,-0.368552,-0.788483,0.05138,89.023,88.173,100.771,0.352782,0.158916,False,1.308998,0.213993,False
2026,63123,강승호,R,860,224,224,10,58,9,4.4643,25.8929,4.0179,True,49.5349,50.4651,40.9302,69.6023,35.6299,33.9724,73.4694,64.7436,55.2764,31.6583,7.2727,41.8111,70.1878,29.8122,85.7143,49.1713,66.5116,245,181,107,327,57.1678,24.6544,32.5134,-4.698132,-0.546294,196,156,199,199,110,2.021868,0.694033,-0.354117,0.306091,0.127551,-0.293774,False,False,False,4,1.690127,0.306091,0.127551,0.74124,64.3701,-1.199314,4,1.303007,0.149222,-0.02091,0.248216,-0.504016,0.357643,-0.652298,-0.147328,0.357643,-0.652298,95.612,105.365,90.216,-3.282684,-1.478736,False,5.337414,0.872552,False
2026,50066,강현우,R,119,24,24,4,6,0,16.6667,25.0,0.0,False,36.1345,63.8655,43.6975,50.0,25.3731,24.6269,55.5556,44.0,42.1053,33.3333,0.0,22.2223,79.0698,20.9302,84.6154,70.5882,63.8655,26,17,26,50,65.7895,34.2105,31.579,-3.80888,-3.200739,27,25,19,27,21,,,,,,,,,,,,-2.467878,-2.37612,-2.318858,74.6269,0.569492,1,3.131729,-1.78355,-1.618805,-1.731508,0.675479,-2.494851,0.874204,-0.810324,-2.494851,0.874204,75.864,62.577,113.113,,,,,,
2026,51868,고명준,R,585,166,166,12,35,0,7.2289,21.0843,0.0,True,51.2821,48.7179,43.2479,68.7747,37.9518,30.8229,73.4375,64.0,57.0248,34.8148,13.1579,38.6227,75.3333,24.6667,87.3563,58.7302,64.9573,174,126,79,206,54.2105,27.7193,26.4912,-3.250626,-0.555663,128,125,121,135,76,1.218238,-1.487141,-0.272115,0.184429,-0.273311,-0.225746,False,False,False,4,0.622352,0.184429,-0.273311,0.612044,62.0482,-1.599731,4,0.809469,0.02756,-0.421772,0.11902,-0.904433,0.17149,-1.170517,-0.499513,0.17149,-1.170517,85.122,102.572,82.442,0.559917,0.252223,False,0.8047,0.131551,False
2026,69517,고승민,L,1586,400,400,30,77,1,7.5,19.25,0.25,True,40.9836,59.0164,46.9105,57.9301,26.0095,31.9206,61.9048,53.8251,38.7543,25.5435,7.027,36.3613,81.3846,18.6154,88.8631,66.6667,66.4565,431,219,313,623,59.1082,33.4402,25.668,18.257215,1.151149,378,366,289,368,185,-8.047732,-5.36986,1.499502,-1.218347,-0.986887,1.243981,False,False,False,1,0.738382,-1.218347,-0.986887,-1.080897,73.9905,0.459743,2,0.947617,-0.985495,-0.775085,-0.720274,0.117298,-1.03781,0.151807,-0.443001,-1.03781,0.151807,86.805,84.433,102.277,-1.919451,-0.864646,False,0.762126,0.124591,False
2026,61353,고종욱,L,139,34,34,4,8,1,11.7647,23.5294,2.9412,False,45.3237,54.6763,45.3237,65.0794,28.9474,36.132,70.3704,61.1111,34.6154,26.6667,25.0,43.7037,76.1905,23.8095,90.2439,50.0,68.3453,41,22,22,54,56.8421,28.9474,27.8947,-2.726813,-1.961736,27,36,26,30,20,,,,,,,,,,,,0.021688,0.01227,0.035174,71.0526,-0.046903,4,4.011473,-0.135182,-0.136191,-0.45785,0.648395,-0.659695,0.839152,0.089728,-0.659695,0.839152,102.673,90.105,112.587,,,,,,
2026,56949,고준휘,L,195,49,49,2,11,2,4.0816,22.449,4.0816,False,48.7179,51.2821,49.2308,65.625,32.3232,33.3018,69.5652,62.0,46.6667,31.3725,11.1111,38.1927,75.7895,24.2105,79.3651,68.75,66.6667,63,32,33,67,51.5385,33.0,18.5385,-1.147205,-0.58831,46,50,30,51,18,,,,,,,,,,,,-0.274388,-0.249135,0.120347,67.6768,-0.629067,4,1.620716,-0.431258,-0.397596,-0.372677,0.066231,-0.536973,0.085716,-0.225629,-0.536973,0.085716,93.28,91.945,101.286,,,,,,
