season,batter_id,batter_name,team,pitches_seen,qualified_300,za_raw,dv_per_100,raw_dv,swing_aggression,zone_judgment_raw,za_percentile,low_opposite_support_pitches,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,heart_pitches,heart_raw_dv,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_in_pitches,shadow_in_raw_dv,shadow_in_decision_value_per_100,shadow_in_swing_decision_value_per_100,shadow_in_take_decision_value_per_100,shadow_out_pitches,shadow_out_raw_dv,shadow_out_decision_value_per_100,shadow_out_swing_decision_value_per_100,shadow_out_take_decision_value_per_100,chase_pitches,chase_raw_dv,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_raw_dv,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100
2025,66704,김태연,HAN,1273,True,0.025975,0.025975,0.330668,3.476073,1.995294,50.0,418,612,-0.456814,661,0.482789,338,1.614222,0.126805,0.220199,-0.093395,244,0.27349,0.021484,0.159477,-0.137994,211,-0.836599,-0.065719,-0.206809,0.14109,313,-2.289154,-0.179824,-0.560168,0.380344,167,1.568709,0.123229,-0.069515,0.192744
2025,53764,문현빈,HAN,2143,True,0.036222,0.036222,0.776233,5.231924,2.200207,52.339181,708,1051,-0.389914,1092,0.426136,502,2.104053,0.098183,0.207469,-0.109287,446,2.726077,0.127208,0.194142,-0.066933,449,-0.40945,-0.019106,-0.220928,0.201821,483,-2.37685,-0.110912,-0.432788,0.321876,263,-1.267597,-0.059151,-0.137809,0.078659
2025,55734,플로리얼,HAN,1103,True,0.257845,0.257845,2.844029,5.690361,5.405229,75.146199,361,565,-0.262134,538,0.519979,259,1.775981,0.161014,0.225399,-0.064385,240,0.276052,0.025027,0.186345,-0.161318,216,0.172882,0.015674,-0.201431,0.217104,266,-0.77401,-0.070173,-0.446866,0.376693,122,1.393124,0.126303,-0.025581,0.151884
2025,68050,강백호,KT,1444,True,-0.332934,-0.332934,-4.807567,0.939008,-2.514104,16.666667,499,617,-0.805022,827,0.472088,318,0.194489,0.013469,0.155908,-0.142439,279,-0.565954,-0.039193,0.14673,-0.185923,260,-0.779866,-0.054007,-0.24374,0.189733,365,-3.088172,-0.213862,-0.664109,0.450247,222,-0.568064,-0.03934,-0.199809,0.16047
2025,67025,로하스,KT,1542,True,0.071321,0.071321,1.099774,-1.295405,0.464563,55.263158,493,661,-0.44365,881,0.514971,343,-0.078186,-0.00507,0.170334,-0.175405,324,-0.107567,-0.006976,0.179365,-0.186341,305,-0.165352,-0.010723,-0.278791,0.268067,383,0.911562,0.059116,-0.422258,0.481373,187,0.539317,0.034975,-0.092301,0.127276
2025,79240,허경민,KT,1864,True,0.198208,0.198208,3.694589,-8.811567,-4.25857,67.54386,575,694,-0.246937,1170,0.445145,485,-0.830997,-0.044581,0.149303,-0.193884,416,0.224214,0.012029,0.152473,-0.140445,352,1.703993,0.091416,-0.157542,0.248957,410,1.119155,0.06004,-0.350516,0.410556,201,1.478225,0.079304,-0.040656,0.11996
2025,64004,김민혁,KT,1511,True,-0.009841,-0.009841,-0.148697,0.50325,0.632197,43.567251,460,676,-0.374865,835,0.365025,377,0.809121,0.053549,0.190066,-0.136517,354,1.527837,0.101114,0.215803,-0.114689,276,-0.788672,-0.052195,-0.214696,0.1625,346,-1.291341,-0.085463,-0.437495,0.352032,158,-0.405642,-0.026846,-0.128544,0.101698
2025,78548,장성우,KT,1926,True,0.190235,0.190235,3.663919,-8.142432,0.825459,64.619883,628,727,-0.219464,1199,0.409699,493,-2.287859,-0.118788,0.193966,-0.312754,385,-1.407997,-0.073105,0.167619,-0.240724,378,2.399165,0.124567,-0.165794,0.290361,449,4.405936,0.228761,-0.297309,0.52607,221,0.554675,0.028799,-0.117946,0.146746
2025,69737,노시환,HAN,2474,True,0.256506,0.256506,6.345956,0.739299,3.099606,74.561404,830,1179,-0.399007,1295,0.655513,586,0.913684,0.036931,0.203819,-0.166888,514,-1.112305,-0.04496,0.169059,-0.214019,448,-0.008568,-0.000346,-0.267073,0.266726,599,3.022158,0.122157,-0.431272,0.553429,327,3.530987,0.142724,-0.073541,0.216264
2025,79192,채은성,HAN,1964,True,-0.370879,-0.370879,-7.284071,7.266185,-2.772624,14.912281,602,1014,-0.851793,950,0.480914,450,1.838605,0.093615,0.171933,-0.078317,414,3.296725,0.167858,0.231787,-0.063929,348,-2.748288,-0.139933,-0.280024,0.140091,485,-6.515239,-0.331733,-0.661161,0.329428,267,-3.155874,-0.160686,-0.314327,0.153641
