season,batter_id,batter_name,team,pitches_seen,qualified_300,za_raw,dv_per_100,raw_dv,swing_aggression,za_percentile,low_opposite_support_pitches,low_opposite_support_pct,games_seen,swing_pitches,swing_decision_value_per_100,take_pitches,take_decision_value_per_100,heart_pitches,heart_raw_dv,heart_decision_value_per_100,heart_swing_decision_value_per_100,heart_take_decision_value_per_100,shadow_in_pitches,shadow_in_raw_dv,shadow_in_decision_value_per_100,shadow_in_swing_decision_value_per_100,shadow_in_take_decision_value_per_100,shadow_out_pitches,shadow_out_raw_dv,shadow_out_decision_value_per_100,shadow_out_swing_decision_value_per_100,shadow_out_take_decision_value_per_100,chase_pitches,chase_raw_dv,chase_decision_value_per_100,chase_swing_decision_value_per_100,chase_take_decision_value_per_100,waste_pitches,waste_raw_dv,waste_decision_value_per_100,waste_swing_decision_value_per_100,waste_take_decision_value_per_100,dv_plus
2026,65653,김호령,KIA,1912,True,-1.989369,5.214911,99.709093,1.084772,31.595092,1912,100.0,123,935,2.044996,977,3.169915,479,29.430992,1.539278,2.114971,-0.575694,424,20.789299,1.087306,1.500562,-0.413256,366,1.980516,0.103583,-0.400383,0.503966,415,18.772859,0.981844,-0.894269,1.876113,228,28.735427,1.502899,-0.275887,1.778785,86.895951
2026,56626,카스트로,KIA,1272,True,-5.974968,3.698194,47.041024,9.609197,3.98773,1272,100.0,80,648,0.736786,624,2.961408,276,19.127952,1.50377,1.827672,-0.323902,272,12.52718,0.984841,1.293325,-0.308484,234,-3.515731,-0.276394,-0.705767,0.429373,303,1.507235,0.118493,-1.318971,1.437464,187,17.394388,1.367483,-0.359473,1.726956,62.47692
2026,52605,김도영,KIA,1980,True,5.611261,6.234578,123.444645,0.952332,99.079755,1980,100.0,122,865,1.101242,1115,5.133336,442,25.954521,1.310834,1.538597,-0.227762,381,13.273062,0.670357,0.973473,-0.303117,365,7.460903,0.376813,-0.367923,0.744736,508,34.748589,1.754979,-0.912455,2.667435,284,42.007569,2.121594,-0.13045,2.252044,103.312514
2026,62947,나성범,KIA,1926,True,4.043908,6.164965,118.73722,8.591863,95.398773,1926,100.0,121,993,1.645357,933,4.519607,394,32.801318,1.70308,1.874714,-0.171634,401,24.045564,1.248472,1.469171,-0.220699,350,0.913309,0.04742,-0.433193,0.480613,490,27.025727,1.403205,-0.935878,2.339083,291,33.951303,1.762788,-0.329455,2.092244,102.191749
2026,78603,김선빈,KIA,1974,True,-1.672712,6.644526,131.162947,-7.455357,35.276074,1974,100.0,118,751,1.979966,1223,4.66456,480,31.848476,1.613398,2.10078,-0.487382,392,18.836031,0.954206,1.27993,-0.325723,389,11.929074,0.60431,-0.284132,0.888442,492,38.410013,1.945796,-0.922611,2.868407,221,30.139353,1.526816,-0.194001,1.720817,109.912646
2026,69636,오선우,KIA,368,True,0.921423,6.915173,25.447836,2.880252,69.631902,368,100.0,31,168,1.588763,200,5.32641,68,5.699775,1.548852,1.716123,-0.167271,81,4.561674,1.239585,1.52932,-0.289735,74,-0.175297,-0.047635,-0.609188,0.561553,86,5.441615,1.4787,-1.047493,2.526192,59,9.920069,2.695671,0.0,2.695671,114.270042
2026,67893,박성한,SSG,2352,True,-3.046807,6.752384,158.816063,-8.387835,18.711656,2352,100.0,128,839,1.975899,1513,4.776485,599,32.931523,1.40015,1.900281,-0.500132,473,21.177198,0.900391,1.364629,-0.464237,475,16.725935,0.711137,-0.538575,1.249712,529,47.881171,2.035764,-0.583452,2.619216,276,40.100236,1.704942,-0.166984,1.871926,111.649152
2026,53827,에레디아,SSG,1465,True,5.022828,5.486744,80.380806,12.791708,98.466258,1465,100.0,99,801,0.932412,664,4.554332,315,24.145509,1.648158,1.828619,-0.180461,298,15.753097,1.075297,1.371619,-0.296322,260,-0.541627,-0.036971,-0.631906,0.594935,377,8.753217,0.597489,-1.388873,1.986362,215,32.27061,2.202772,-0.247047,2.449819,91.272442
2026,75847,최정,SSG,1226,True,3.1643,6.780002,83.122819,-0.088921,89.877301,1226,100.0,71,560,2.000542,666,4.779459,297,27.257886,2.223319,2.423266,-0.199947,237,10.29645,0.839841,1.12572,-0.285879,231,2.522243,0.205729,-0.492143,0.697872,279,16.397205,1.337456,-0.833542,2.170998,182,26.649035,2.173657,-0.222758,2.396415,112.093799
2026,78224,김재환,SSG,1946,True,1.414972,6.756855,131.488405,-1.466048,72.08589,1946,100.0,116,826,1.865199,1120,4.891656,412,37.205702,1.911907,2.249036,-0.337129,387,11.189763,0.575013,1.067809,-0.492795,410,5.885311,0.302431,-0.561766,0.864197,479,37.151667,1.90913,-0.76653,2.67566,258,40.055963,2.058374,-0.123349,2.181724,111.721134
