game_date,game_id,pitch_id,pitcher_name,batter_name,pitch_type,pitch_type_code,velocity_kmh,vertical_movement_cm,horizontal_movement_cm,px,pz,inning,inning_half
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-001-01,치리노스,최원준,4-Seam Fastball,FF,143,22.4,-26.5,-0.73,3.38,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-001-02,치리노스,최원준,Forkball,FS,133,0.8,-18.1,-0.13,1.36,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-002-01,치리노스,김현수,4-Seam Fastball,FF,145,27.1,-27.3,-0.29,4.48,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-002-02,치리노스,김현수,Forkball,FS,130,-3.4,-20.5,-0.53,1.71,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-002-03,치리노스,김현수,2-Seam Fastball,FT,144,19.6,-39.4,-0.54,3.67,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-002-04,치리노스,김현수,4-Seam Fastball,FF,143,36.6,-38.2,0.25,2.99,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-002-05,치리노스,김현수,2-Seam Fastball,FT,145,20.6,-36.9,-0.55,3.57,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-003-01,치리노스,안현민,4-Seam Fastball,FF,147,28.8,-39.7,1.18,1.06,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-003-02,치리노스,안현민,Sweeper,ST,128,-12.5,34.5,1.73,1.83,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-003-03,치리노스,안현민,4-Seam Fastball,FF,147,35.4,-23.8,1.09,2.15,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-003-04,치리노스,안현민,4-Seam Fastball,FF,147,19.4,-35.2,-0.13,2.62,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-003-05,치리노스,안현민,2-Seam Fastball,FT,148,18.3,-37.2,0.23,1.06,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-004-01,치리노스,힐리어드,Sweeper,ST,131,-1.6,35.8,-0.28,1.83,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-004-02,치리노스,힐리어드,2-Seam Fastball,FT,149,17.2,-37.4,0.82,0.97,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-004-03,치리노스,힐리어드,Forkball,FS,136,2.3,-28.6,0.83,0.8,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-004-04,치리노스,힐리어드,Forkball,FS,137,-3.7,-15.1,-0.83,1.81,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-005-01,치리노스,류현인,Forkball,FS,136,-8.1,-14.3,-1.19,2.38,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-005-02,치리노스,류현인,2-Seam Fastball,FT,149,18.2,-33.5,0.75,1.67,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-005-03,치리노스,류현인,2-Seam Fastball,FT,149,7.9,-37.0,0.37,2.72,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-006-01,치리노스,이정훈,Sweeper,ST,131,8.6,31.5,0.44,2.06,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-006-02,치리노스,이정훈,Sweeper,ST,133,2.4,34.3,1.58,0.87,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-006-03,치리노스,이정훈,Forkball,FS,134,-1.6,-15.5,-1.17,2.3,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-006-04,치리노스,이정훈,2-Seam Fastball,FT,147,4.4,-34.8,-1.25,2.67,1,top
2026-03-28,20260328KTLG0,20260328KTLG0-20260328KTLG0-006-05,치리노스,이정훈,2-Seam Fastball,FT,148,13.0,-40.9,-0.27,2.2,1,top
